Transaction ID: 1060119, Account ID: 1, Amount: -5000,00, Date: 2025-05-14, Type: Debit, Operation: asdf 
Transaction ID: 1060121, Account ID: 1, Amount: -500,00, Date: 2025-05-14, Type: Debit, Operation: asdf 
Transaction ID: 1060122, Account ID: 1, Amount: -200,00, Date: 2025-05-14, Type: Debit, Operation: asdf 
Transaction ID: 1060123, Account ID: 1, Amount: 10000,00, Date: 2025-05-14, Type: Credit, Operation: asdf 
Transaction ID: 1060124, Account ID: 1, Amount: 10000,00, Date: 2025-05-14, Type: Credit, Operation: asdf 
Transaction ID: 1060125, Account ID: 1, Amount: 10000,00, Date: 2025-05-14, Type: Credit, Operation: asdf 
Transaction ID: 1060119, Account ID: 1, Amount: -5000,00, Type: Debit, Operation: asdf 
Transaction ID: 1060121, Account ID: 1, Amount: -500,00, Type: Debit, Operation: asdf 
Transaction ID: 1060122, Account ID: 1, Amount: -200,00, Type: Debit, Operation: asdf 
Transaction ID: 1060123, Account ID: 1, Amount: 10000,00, Type: Credit, Operation: asdf 
Transaction ID: 1060124, Account ID: 1, Amount: 10000,00, Type: Credit, Operation: asdf 
Transaction ID: 1060125, Account ID: 1, Amount: 10000,00, Type: Credit, Operation: asdf 
Transaction ID: 246141, Account ID: 9, Amount: 45691,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 658496, Account ID: 9, Amount: 35759,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 665419, Account ID: 9, Amount: 32930,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 838441, Account ID: 9, Amount: 26526,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 383070, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 400164, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 417936, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 437300, Account ID: 10, Amount: 26529,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 463981, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 491076, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 510636, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 531422, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 552600, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 575348, Account ID: 10, Amount: 26529,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 598516, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 621214, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 644366, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 667950, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 692055, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 717943, Account ID: 10, Amount: 26529,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 752874, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 787532, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 811947, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 837305, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 862780, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 889368, Account ID: 10, Amount: 26529,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 916205, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 941776, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 967412, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 992882, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 1018536, Account ID: 10, Amount: 17686,00, Type: Credit, Operation: Credit in Cash 
Transaction ID: 1045488, Account ID: 10, Amount: 26529,00, Type: Credit, Operation: Credit in Cash 
